id;R;U;I;P;Un;j
1;20049,87531;8,04;0,401;3,22404;0,574285714;0,072909091
2;18356,48148;7,93;0,432;3,42576;0,566428571;0,078545455
3;17161,57205;7,86;0,458;3,59988;0,561428571;0,083272727
4;15575,75758;7,71;0,495;3,81645;0,550714286;0,09
5;14410,64639;7,58;0,526;3,98708;0,541428571;0,095636364
6;13309,35252;7,4;0,556;4,1144;0,528571429;0,101090909
7;12273,50427;7,18;0,585;4,2003;0,512857143;0,106363636
8;11892,79732;7,1;0,597;4,2387;0,507142857;0,108545455
9;11672,18543;7,05;0,604;4,2582;0,503571429;0,109818182
10;11581,5486;7,03;0,607;4,26721;0,502142857;0,110363636
11;11475,40984;7;0,61;4,27;0,5;0,110909091
12;11333,33333;6,97;0,615;4,28655;0,497857143;0,111818182
13;11245,95469;6,95;0,618;4,2951;0,496428571;0,112363636
14;11213,59223;6,93;0,618;4,28274;0,495;0,112363636
15;11130,85622;6,89;0,619;4,26491;0,492142857;0,112545455
16;11062,80193;6,87;0,621;4,26627;0,490714286;0,112909091
17;11359,0604;6,77;0,596;4,03492;0,483571429;0,108363636
18;11048,25291;6,64;0,601;3,99064;0,474285714;0,109272727
19;10690,78947;6,5;0,608;3,952;0,464285714;0,110545455
20;10276,42276;6,32;0,615;3,8868;0,451428571;0,111818182
21;9951,768489;6,19;0,622;3,85018;0,442142857;0,113090909
22;9113,924051;5,76;0,632;3,64032;0,411428571;0,114909091
23;8486,73947;5,44;0,641;3,48704;0,388571429;0,116545455
24;7407,97546;4,83;0,652;3,14916;0,345;0,118545455
25;6450,151057;4,27;0,662;2,82674;0,305;0,120363636
26;5522,38806;3,7;0,67;2,479;0,264285714;0,121818182
27;4128,843338;2,82;0,683;1,92606;0,201428571;0,124181818
28;2507,204611;1,74;0,694;1,20756;0,124285714;0,126181818
29;1326,676177;0,93;0,701;0,65193;0,066428571;0,127454545
30;367,2316384;0,26;0,708;0,18408;0,018571429;0,128727273
31;14,08450704;0,01;0,71;0,0071;0,000714286;0,129090909
